uuid,urban_percentage,urban_built_up_area_m2,polygon_total_area_m2
93e48341dbaa4be29a38b856d94206c5,0.0,0.0,153147286.7303741
939149831ea34c3e94712cc42c17c46a,0.0,0.0,9880933.816208474
931831f75479454cb3938811e64ce882,0.0,0.0,11800292.32853213
91bc68dde43646289c9e75b7d59e1711,0.0,0.0,127383622.69500428
8b849511de80423f98918f55af323e7e,0.0,0.0,105184.9111590413
89d525b8bca9417d97389e8a498794c9,0.0,0.0,18173930.270967204
8995bd586b894e21b6a780941c98af5b,0.0,0.0,5666358.543320297
87f649c88cd244279f87eb302009ebef,0.0,0.0,5014663.930885867
7948a34fe7874f10b254776c2d312784,0.0,0.0,1137985838.2439485
77ce167a60fe424ea0fc2e11ad22f2f9,0.0,0.0,13646776.05680311
7722bd8dda81452b89d64424e743a624,0.0,0.0,469110.2466081635
76fa97d408be44fb935ce382319073c8,0.0,0.0,47112869.4137019
76702be6940e421da3eae8542c86eb84,0.0,0.0,10396006.620687826
872d57f7865944a597d154bd17f02439,0.0,0.0,903026551.2322749
86b08dbc30594a4d9a78bd69d513648f,0.0,0.0,31122841.866360564
835f6b870ae44a4f928273784e657f38,0.0,0.0,363395126.21153647
82a8858c369b41f5b96e94a362d9bf0c,0.0,0.0,26339635.727812763
80808535b54c4a6c9fb41ffd2ce7644d,0.0,0.0,9623886.356657222
7f5f5fef238d44869f87be019977d22e,0.0,0.0,176323.50041324383
7e675fb2f59347478537dc65f9635e76,0.0,0.0,55776369.47212857
7d9696751e9d4af7baaf6fa0b80c0b8a,0.0,0.0,6829549.294939218
7d7892e7fb27416f9085ee80cb58b0b7,0.0,0.0,28522139.179445762
7c0e77bd5cbc4855ae46ad820037a9fa,0.0,0.0,295584.32739181386
7c044cf7b62f4ca182bc8b8fef678fba,0.0,0.0,36779.4469276504
d5feff2c53e24e4eb84794482d772285,0.0,0.0,52123526.65222929
d36e04e6adec4729872e2f9a533d26cf,0.0,0.0,184561275.23675463
d35c83ecd3794f86896c91b01998e90b,0.0,0.0,27310636.30979529
d11caa7f88df4b3bacb513ffa2ca863b,0.0,0.0,20985418.077290963
cf2c9ea97c854a4f88def7dae777be31,0.0,0.0,797434173.4257796
cf04a9c163e5431089d85ee073ca96a9,0.0,0.0,20480130.45402538
cbf6a4bedd354f0bb2d9413036ec05b7,0.0,0.0,40946.92546244568
cbb58d426b64424a8e0545bb1799c467,0.0,0.0,154216253.13804924
cb060b9e01cb4d4588d1c44a036ad758,0.0,0.0,22023311.9013303
bc45a2fb0d9f4f82a58e879bfd498b35,0.0,0.0,5023101.257691637
bb22510dbb174b5c9de850e556edd237,0.0,0.0,48732970.88281513
b676cd1774d14d6289a1a5a95da0422d,0.0,0.0,20396706.134756222
c998e96ef8a84608a0c418be7e4942cc,0.0,0.0,274625.8796201745
c5adc6b33878456c945b251a6908e1e3,0.0,0.0,3160684011.573628
c3e648c993554c65b747dcdfc3d37201,0.0,0.0,10806643.886990836
c3295bc3438c4abaa735ddb87738d6b4,0.0,0.0,3877102.5496998895
c2c71e430ee949c19f7c2b78f27456f4,0.0,0.0,880692.8432765348
c1eb7597039d4035a7763e3b582bb2e4,0.0,0.0,54589.566405255835
c0c38546a4d848809d882bccf7d1c81e,0.0,0.0,13903184.535995632
bf29ef79eefb4748872d600493fe71cb,0.0,0.0,96885.62598583984
bf09ab1f24e74b1ebaca9f094d7bff83,0.0,0.0,11884699.196502626
b53bc2fde2264fca86d3e17cb5ee4bc9,0.0,0.0,29969770.058345146
b5604b11a671452ba73215ce07764b12,0.0,0.0,6656861.25804427
b115756dfea9455f882b9ddee79e763c,0.0,0.0,66437842.69022361
ae47ebc9ec9f469b97266ecef226e09b,0.0,0.0,11310857.46973065
ad38900f35254ce9b6f3cfd9a2946a48,0.0,0.0,398709405.45552844
acf5f7efc741445fbac50d10f3a9ff34,0.0,0.0,43934213.48806447
aa0e7f97d60a41faaefa4ab560636526,0.0,0.0,14725272.151379894
